ID,Exchange,Instrument,Market Active?,REST API root,Search helper
59884,binance,enjusdt,true,https://api.cryptowat.ch/markets/binance/enjusdt,binance enjusdt
1920,binance,eosbnb,true,https://api.cryptowat.ch/markets/binance/eosbnb,binance eosbnb
601,binance,eosbtc,true,https://api.cryptowat.ch/markets/binance/eosbtc,binance eosbtc
61409,binance,eosbusd,true,https://api.cryptowat.ch/markets/binance/eosbusd,binance eosbusd
584,binance,eoseth,true,https://api.cryptowat.ch/markets/binance/eoseth,binance eoseth
5653,binance,eospax,true,https://api.cryptowat.ch/markets/binance/eospax,binance eospax
5687,binance,eostusd,true,https://api.cryptowat.ch/markets/binance/eostusd,binance eostusd
6635,binance,eosusdc,true,https://api.cryptowat.ch/markets/binance/eosusdc,binance eosusdc
1650,binance,eosusdt,true,https://api.cryptowat.ch/markets/binance/eosusdt,binance eosusdt
60878,binance,erdbnb,true,https://api.cryptowat.ch/markets/binance/erdbnb,binance erdbnb
60879,binance,erdbtc,true,https://api.cryptowat.ch/markets/binance/erdbtc,binance erdbtc
60880,binance,erdpax,FALSE,https://api.cryptowat.ch/markets/binance/erdpax,binance erdpax
60881,binance,erdusdc,FALSE,https://api.cryptowat.ch/markets/binance/erdusdc,binance erdusdc
60882,binance,erdusdt,true,https://api.cryptowat.ch/markets/binance/erdusdt,binance erdusdt
1923,binance,etcbnb,true,https://api.cryptowat.ch/markets/binance/etcbnb,binance etcbnb
604,binance,etcbtc,true,https://api.cryptowat.ch/markets/binance/etcbtc,binance etcbtc
61309,binance,etcbusd,true,https://api.cryptowat.ch/markets/binance/etcbusd,binance etcbusd
603,binance,etceth,true,https://api.cryptowat.ch/markets/binance/etceth,binance etceth
60117,binance,etcpax,FALSE,https://api.cryptowat.ch/markets/binance/etcpax,binance etcpax
60118,binance,etctusd,true,https://api.cryptowat.ch/markets/binance/etctusd,binance etctusd
60119,binance,etcusdc,FALSE,https://api.cryptowat.ch/markets/binance/etcusdc,binance etcusdc
1289,binance,etcusdt,true,https://api.cryptowat.ch/markets/binance/etcusdt,binance etcusdt
61764,binance,ethbearbusd,true,https://api.cryptowat.ch/markets/binance/ethbearbusd,binance ethbearbusd
61763,binance,ethbearusdt,true,https://api.cryptowat.ch/markets/binance/ethbearusdt,binance ethbearusdt
580,binance,ethbtc,true,https://api.cryptowat.ch/markets/binance/ethbtc,binance ethbtc
61762,binance,ethbullbusd,true,https://api.cryptowat.ch/markets/binance/ethbullbusd,binance ethbullbusd
61761,binance,ethbullusdt,true,https://api.cryptowat.ch/markets/binance/ethbullusdt,binance ethbullusdt
61305,binance,ethbusd,true,https://api.cryptowat.ch/markets/binance/ethbusd,binance ethbusd
61600,binance,etheur,true,https://api.cryptowat.ch/markets/binance/etheur,binance etheur
5654,binance,ethpax,true,https://api.cryptowat.ch/markets/binance/ethpax,binance ethpax
61482,binance,ethrub,true,https://api.cryptowat.ch/markets/binance/ethrub,binance ethrub
50912,binance,ethtusd,true,https://api.cryptowat.ch/markets/binance/ethtusd,binance ethtusd
6631,binance,ethusdc,true,https://api.cryptowat.ch/markets/binance/ethusdc,binance ethusdc
588,binance,ethusdt,true,https://api.cryptowat.ch/markets/binance/ethusdt,binance ethusdt
61603,binance,eurbusd,true,https://api.cryptowat.ch/markets/binance/eurbusd,binance eurbusd
61604,binance,eurusdt,true,https://api.cryptowat.ch/markets/binance/eurusdt,binance eurusdt
1631,binance,evxbtc,true,https://api.cryptowat.ch/markets/binance/evxbtc,binance evxbtc
1632,binance,evxeth,true,https://api.cryptowat.ch/markets/binance/evxeth,binance evxeth
59422,binance,fetbnb,true,https://api.cryptowat.ch/markets/binance/fetbnb,binance fetbnb
59423,binance,fetbtc,true,https://api.cryptowat.ch/markets/binance/fetbtc,binance fetbtc
59424,binance,fetusdt,true,https://api.cryptowat.ch/markets/binance/fetusdt,binance fetusdt
60444,binance,ftmbnb,true,https://api.cryptowat.ch/markets/binance/ftmbnb,binance ftmbnb
60445,binance,ftmbtc,true,https://api.cryptowat.ch/markets/binance/ftmbtc,binance ftmbtc
60446,binance,ftmpax,FALSE,https://api.cryptowat.ch/markets/binance/ftmpax,binance ftmpax
60447,binance,ftmtusd,FALSE,https://api.cryptowat.ch/markets/binance/ftmtusd,binance ftmtusd
60448,binance,ftmusdc,true,https://api.cryptowat.ch/markets/binance/ftmusdc,binance ftmusdc
60449,binance,ftmusdt,true,https://api.cryptowat.ch/markets/binance/ftmusdt,binance ftmusdt
61544,binance,fttbnb,true,https://api.cryptowat.ch/markets/binance/fttbnb,binance fttbnb
61545,binance,fttbtc,true,https://api.cryptowat.ch/markets/binance/fttbtc,binance fttbtc
61546,binance,fttusdt,true,https://api.cryptowat.ch/markets/binance/fttusdt,binance fttusdt
1785,binance,fuelbtc,true,https://api.cryptowat.ch/markets/binance/fuelbtc,binance fuelbtc
1641,binance,fueleth,FALSE,https://api.cryptowat.ch/markets/binance/fueleth,binance fueleth
597,binance,funbtc,true,https://api.cryptowat.ch/markets/binance/funbtc,binance funbtc
598,binance,funeth,true,https://api.cryptowat.ch/markets/binance/funeth,binance funeth
60958,binance,funusdt,true,https://api.cryptowat.ch/markets/binance/funusdt,binance funusdt
587,binance,gasbtc,true,https://api.cryptowat.ch/markets/binance/gasbtc,binance gasbtc
1931,binance,gntbnb,true,https://api.cryptowat.ch/markets/binance/gntbnb,binance gntbnb
1107,binance,gntbtc,true,https://api.cryptowat.ch/markets/binance/gntbtc,binance gntbtc
1108,binance,gnteth,true,https://api.cryptowat.ch/markets/binance/gnteth,binance gnteth
11363,binance,gobnb,true,https://api.cryptowat.ch/markets/binance/gobnb,binance gobnb
